مشاع؟,نوع العقار,سعر المتر,المساحة,سعر العملية,نوع العملية,القطعة,المخطط,الحي,المدينة,المنطقة,التاريخ
كامل العقار,قطعة أرض,7738.0,504.0,3900000.0,صفقة,6,3 / 318 / ع,العزيزية,جدة,منطقة مكة المكرمة,2025-07-16
كامل العقار,قطعة أرض,743.0,808.0,600000.0,صفقة,776,3 / 497 / ع المعدل,الصفوة,جدة,منطقة مكة المكرمة,2025-09-15
كامل العقار,شقة,4126.0,160.0,660000.0,صفقة,4 / 4,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2025-06-15
كامل العقار,شقة,3966.0,101.0,402066.0,صفقة,4 / 1,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-11-13
كامل العقار,قطعة أرض,8696.0,311.0,2700000.0,صفقة,114 / ب,441 / ب,النعيم,جدة,منطقة مكة المكرمة,2026-01-18
كامل العقار,شقة,3370.0,130.0,439100.0,صفقة,13,704 / س / ت,الرغامة,جدة,منطقة مكة المكرمة,2025-11-18
كامل العقار,شقة,3201.0,191.0,610000.0,صفقة,2 / 1,434 / ج / س / الجزء 2,الحمدانية,جدة,منطقة مكة المكرمة,2025-07-27
كامل العقار,شقة,3047.0,131.0,400000.0,صفقة,4 / 2,586 / ج / س,حكومى,جدة,منطقة مكة المكرمة,2025-11-02
كامل العقار,قطعة أرض,2000.0,900.0,1800000.0,صفقة,314 / 6 / 1,101 / ب / 1400,القرينية,جدة,منطقة مكة المكرمة,2025-08-26
كامل العقار,شقة,3354.0,140.0,468259.0,صفقة,1,337 / ج / س,المروة,جدة,منطقة مكة المكرمة,2026-01-29
كامل العقار,قطعة أرض,3617.0,300.0,1085000.0,صفقة,429 / الجزء ب / 3,83 / ج / س,الصالحية,جدة,منطقة مكة المكرمة,2026-02-15
كامل العقار,شقة,1916.0,181.0,347193.0,صفقة,2 / 3,620220020823 / س / المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-07-23
كامل العقار,قطعة أرض,6885.0,596.0,4100000.0,صفقة,1325 / أ,273 / ب / المعدل,السنابل,جدة,منطقة مكة المكرمة,2025-06-14
كامل العقار,شقة,3830.0,144.0,550000.0,صفقة,1 / 1,30 / ب / المعدل,الصفا,جدة,منطقة مكة المكرمة,2025-06-04
كامل العقار,شقة,2292.0,188.0,430000.0,صفقة,بدون,المنح رقم 8,الصفا,جدة,منطقة مكة المكرمة,2025-11-18
كامل العقار,شقة,1897.0,158.0,300000.0,صفقة,4 / 2,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2026-02-26
كامل العقار,قطعة أرض,2179.0,236.0,513968.0,صفقة,بدون,بدون,المنتزهات,جدة,منطقة مكة المكرمة,2025-12-11
كامل العقار,قطعة أرض,2898.0,174.0,505000.0,صفقة,9,337 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-10-07
كامل العقار,شقة,2662.0,197.0,524115.0,صفقة,2 / أ,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-11-20
كامل العقار,قطعة أرض,1500.0,300.0,450000.0,صفقة,1532 / 1 / ج,290 / ب / 1402,الرحمانية,جدة,منطقة مكة المكرمة,2025-09-10
كامل العقار,قطعة أرض,511.0,469.0,240000.0,صفقة,628 / 1,598 / ج / س,الوداد,جدة,منطقة مكة المكرمة,2025-09-04
كامل العقار,قطعة أرض,2660.0,135.0,359820.0,صفقة,بدون,بدون,العزيزية,جدة,منطقة مكة المكرمة,2025-10-22
كامل العقار,قطعة أرض,1415.0,3721.0,5265000.0,صفقة,7,679 / ج / ص,الوادي,جدة,منطقة مكة المكرمة,2025-07-29
كامل العقار,شقة,6971.0,79.0,550000.0,صفقة,2 / أ,3 / 156 / ع,الروضة,جدة,منطقة مكة المكرمة,2025-10-26
كامل العقار,شقة,3714.0,81.0,300000.0,صفقة,1 / ح1,433 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-07-06
كامل العقار,شقة,3672.0,166.0,610000.0,صفقة,4 / 2,424 / ج / س,الصوارى,جدة,منطقة مكة المكرمة,2025-07-16
كامل العقار,قطعة أرض,2749.0,193.0,529281.0,صفقة,بدون,بدون,بدون,جدة,منطقة مكة المكرمة,2025-08-24
كامل العقار,شقة,1514.0,138.0,208959.0,صفقة,4 / 3,3 / 465 / ع,الصفا,جدة,منطقة مكة المكرمة,2025-12-04
كامل العقار,قطعة أرض,1000.0,750.0,750000.0,صفقة,395 / 2 / د,244 / ج / س,جوهرة العروس بذهبان غرب طريق المدينة,جدة,منطقة مكة المكرمة,2025-08-24
كامل العقار,قطعة أرض,7143.0,630.0,4500000.0,صفقة,96,435 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-09-22
كامل العقار,قطعة أرض,1797.0,466.0,837000.0,صفقة,42,678 / ج / س,بريمان,جدة,منطقة مكة المكرمة,2025-09-18
كامل العقار,شقة,4090.0,203.0,830000.0,صفقة,2 / 4,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2025-09-04
كامل العقار,شقة,6250.0,78.0,490000.0,صفقة,4 / 1,3 / 468 / ع,الزهراء,جدة,منطقة مكة المكرمة,2026-03-02
كامل العقار,شقة,3058.0,201.0,615000.0,صفقة,3 / 3,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-10-01
كامل العقار,قطعة أرض,1600.0,750.0,1200000.0,صفقة,289,197 / ب,طيبة,جدة,منطقة مكة المكرمة,2025-06-15
كامل العقار,قطعة أرض,1024.0,720.0,737500.0,صفقة,17الجزء د / 12,184 / ج / س,الرياض,جدة,منطقة مكة المكرمة,2026-02-05
كامل العقار,قطعة أرض,3950.0,390.0,1540500.0,صفقة,149 / 2 / 2,627 / ج / س,اللؤلؤ,جدة,منطقة مكة المكرمة,2025-05-29
كامل العقار,قطعة أرض,2600.0,1493.0,3881046.0,صفقة,75,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2025-12-15
كامل العقار,شقة,2607.0,115.0,300000.0,صفقة,2 / أ,364 / ب / المعدل,الرغامة,جدة,منطقة مكة المكرمة,2025-08-09
كامل العقار,قطعة أرض,4500.0,1100.0,4950000.0,صفقة,882,320 / ج / س,خارج حدود الاحياء,جدة,منطقة مكة المكرمة,2025-10-14
كامل العقار,قطعة أرض,5000.0,633.0,3164550.0,صفقة,806,351 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-11-23
كامل العقار,شقة,4063.0,123.0,500000.0,صفقة,1 / 2,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-07-02
كامل العقار,قطعة أرض,3216.0,622.0,2000000.0,صفقة,415,183 / ب / 1400,السليمانية,جدة,منطقة مكة المكرمة,2025-10-27
كامل العقار,قطعة أرض,3215.0,127.0,408290.0,صفقة,بدون,بدون,المصفاه,جدة,منطقة مكة المكرمة,2025-07-07
كامل العقار,شقة,3093.0,146.0,450000.0,صفقة,2 / أ,258 / ج / س / المعدل,الأمير عبد المجيد,جدة,منطقة مكة المكرمة,2025-11-13
كامل العقار,شقة,3413.0,146.0,500000.0,صفقة,1 / 3,11 / ج / س,النسيم,جدة,منطقة مكة المكرمة,2026-01-29
كامل العقار,شقة,2804.0,107.0,300000.0,صفقة,1 / 2 / 122,335 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-09-01
كامل العقار,قطعة أرض,6036.0,547.0,3300000.0,صفقة,أ / 74,3 / 160 / ع,الفيصلية,جدة,منطقة مكة المكرمة,2025-12-29
كامل العقار,قطعة أرض,2600.0,750.0,1950000.0,صفقة,430,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2025-11-26
كامل العقار,قطعة أرض,1232.0,313.0,385000.0,صفقة,2515 / ه / 1,184 / ج / س,الرياض,جدة,منطقة مكة المكرمة,2025-10-13
كامل العقار,قطعة أرض,931.0,806.0,750000.0,صفقة,599 / 1 / هـ,244 / ج / س,الغدير,جدة,منطقة مكة المكرمة,2025-08-24
كامل العقار,شقة,3588.0,98.0,350000.0,صفقة,4,292 / ج / س,النعيم,جدة,منطقة مكة المكرمة,2025-10-19
كامل العقار,قطعة أرض,3804.0,460.0,1750000.0,صفقة,24,3 / 79 / ع,العزيزية,جدة,منطقة مكة المكرمة,2025-10-09
كامل العقار,قطعة أرض,840.0,596.0,500000.0,صفقة,474,383 / ب,الساحل,جدة,منطقة مكة المكرمة,2025-10-14
كامل العقار,شقة,2826.0,214.0,605000.0,صفقة,2 / 2,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-11-25
كامل العقار,قطعة أرض,5000.0,500.0,2500000.0,صفقة,53 / ط,3 / 336 / ع,الربوه,جدة,منطقة مكة المكرمة,2025-05-28
